"Wk","Home","Away","league_conseq","league_conseq.home","league_conseq.away","home_can_win_league","home_can_reach_champions","home_can_reach_europa","home_can_be_relegated","away_can_win_league","away_can_reach_champions","away_can_reach_europa","away_can_be_relegated","Season_End_Year","Competition_Name","Gender","Country","Round","Day","Date","Time","HomeGoals","Home_xG","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL","home_points_at_start","home_max_points","home_locked_league_win","home_locked_champions","home_locked_europa","home_locked_relegation","away_points_at_start","away_max_points","away_locked_league_win","away_locked_champions","away_locked_europa","away_locked_relegation"
12,"Chievo","Bologna",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17846,"15:00",2,2.2,2,1.6,9500,"Stadio Marc'Antonio Bentegodi","Daniele Orsato",NA,"https://fbref.com/en/matches/fe6431ea/Chievo-Bologna-November-11-2018-Serie-A",2,80,0,0,0,0,9,87,0,0,0,0
12,"Sassuolo","Lazio",1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17846,"18:00",1,0.7,1,1.6,11317,"Stadio Città del Tricolore","Giampaolo Calvarese",NA,"https://fbref.com/en/matches/258162a8/Sassuolo-Lazio-November-11-2018-Serie-A",18,96,0,0,0,0,21,99,0,0,0,0
12,"Milan","Juventus",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17846,"20:30",0,0.9,2,1.3,74729,"Stadio Giuseppe Meazza","Paolo Mazzoleni",NA,"https://fbref.com/en/matches/2a9656b4/Milan-Juventus-November-11-2018-Serie-A",21,99,0,0,0,0,31,109,0,0,0,0
13,"Udinese","Roma",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17859,"15:00",1,1.4,0,1.3,21986,"Dacia Arena","Michael Fabbri",NA,"https://fbref.com/en/matches/46b4915e/Udinese-Roma-November-24-2018-Serie-A",9,84,0,0,0,0,19,94,0,0,0,0
13,"Juventus","SPAL",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17859,"18:00",2,1.6,0,0.5,41052,"Allianz Stadium","Federico La Penna",NA,"https://fbref.com/en/matches/87cdb443/Juventus-SPAL-November-24-2018-Serie-A",34,109,0,0,0,0,13,88,0,0,0,0
13,"Inter","Frosinone",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sat",17859,"20:30",3,2.5,0,0.2,63645,"Stadio Giuseppe Meazza","Luca Pairetto",NA,"https://fbref.com/en/matches/7d29507c/Internazionale-Frosinone-November-24-2018-Serie-A",25,100,0,0,0,0,7,82,0,0,0,0
13,"Parma","Sassuolo",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17860,"12:30",2,2.1,1,1.5,14354,"Stadio Ennio Tardini","Paolo Valeri",NA,"https://fbref.com/en/matches/1958a5ca/Parma-Sassuolo-November-25-2018-Serie-A",17,92,0,0,0,0,19,94,0,0,0,0
13,"Bologna","Fiorentina",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17860,"15:00",0,0.5,0,1.3,21241,"Stadio Renato Dall'Ara","Marco Di Bello",NA,"https://fbref.com/en/matches/6528a740/Derby-dellAppennino-Bologna-Fiorentina-November-25-2018-Serie-A",10,85,0,0,0,0,17,92,0,0,0,0
13,"Empoli","Atalanta",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17860,"15:00",3,2.2,2,1.9,8736,"Stadio Carlo Castellani","Gianluca Manganiello",NA,"https://fbref.com/en/matches/6f835d4d/Empoli-Atalanta-November-25-2018-Serie-A",9,84,0,0,0,0,18,93,0,0,0,0
13,"Napoli","Chievo",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17860,"15:00",0,1.5,0,0.4,44468,"Stadio San Paolo","Daniele Chiffi",NA,"https://fbref.com/en/matches/a2e9cb92/Napoli-Chievo-November-25-2018-Serie-A",28,103,0,0,0,0,3,78,0,0,0,0
13,"Lazio","Milan",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17860,"18:00",1,1.1,1,0.5,38269,"Stadio Olimpico","Luca Banti",NA,"https://fbref.com/en/matches/8fe9c11b/Lazio-Milan-November-25-2018-Serie-A",22,97,0,0,0,0,21,96,0,0,0,0
13,"Genoa","Sampdoria",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17860,"20:30",1,2.1,1,0.6,31756,"Stadio Comunale Luigi Ferraris","Daniele Doveri",NA,"https://fbref.com/en/matches/9741393d/Genoa-Sampdoria-November-25-2018-Serie-A",14,89,0,0,0,0,15,90,0,0,0,0
13,"Cagliari","Torino",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Mon",17861,"20:30",0,0.2,0,0.7,15804,"Sardegna Arena","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/2c20f001/Cagliari-Torino-November-26-2018-Serie-A",14,89,0,0,0,0,17,92,0,0,0,0
14,"SPAL","Empoli",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17866,"15:00",2,0.8,2,2.1,12622,"Stadio Paolo Mazza","Paolo Mazzoleni",NA,"https://fbref.com/en/matches/bf6d7ecb/SPAL-Empoli-December-1-2018-Serie-A",13,85,0,0,0,0,12,84,0,0,0,0
14,"Fiorentina","Juventus",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17866,"18:00",0,1.3,3,1.7,40872,"Stadio Artemio Franchi","Daniele Orsato",NA,"https://fbref.com/en/matches/8d3c0001/Fiorentina-Juventus-December-1-2018-Serie-A",18,90,0,0,0,0,37,109,0,0,0,0
14,"Sampdoria","Bologna",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sat",17866,"20:30",4,1.3,1,1.2,17844,"Stadio Comunale Luigi Ferraris","Rosario Abisso",NA,"https://fbref.com/en/matches/c580ecf5/Sampdoria-Bologna-December-1-2018-Serie-A",16,88,0,0,0,0,11,83,0,0,0,0
14,"Milan","Parma",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17867,"12:30",2,1.4,1,1.4,53275,"Stadio Giuseppe Meazza","Giampaolo Calvarese",NA,"https://fbref.com/en/matches/f5d074c7/Milan-Parma-December-2-2018-Serie-A",22,94,0,0,0,0,20,92,0,0,0,0
14,"Torino","Genoa",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17867,"15:00",2,2.2,1,1.6,15324,"Stadio Olimpico di Torino","Maurizio Mariani",NA,"https://fbref.com/en/matches/19f1af60/Torino-Genoa-December-2-2018-Serie-A",18,90,0,0,0,0,15,87,0,0,0,0
14,"Sassuolo","Udinese",1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17867,"15:00",0,1.5,0,0.1,10655,"Stadio Città del Tricolore","Marco Guida",NA,"https://fbref.com/en/matches/360e0077/Sassuolo-Udinese-December-2-2018-Serie-A",19,91,0,0,0,0,12,84,0,0,0,0
14,"Frosinone","Cagliari",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17867,"15:00",1,1.9,1,1.9,12377,"Stadio Benito Stirpe","Marco Serra",NA,"https://fbref.com/en/matches/44d65fdb/Frosinone-Cagliari-December-2-2018-Serie-A",7,79,0,0,0,0,15,87,0,0,0,0
14,"Chievo","Lazio",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17867,"18:00",1,1,1,1.1,7000,"Stadio Marc'Antonio Bentegodi","Fabio Maresca",NA,"https://fbref.com/en/matches/6b38d415/Chievo-Lazio-December-2-2018-Serie-A",4,76,0,0,0,0,23,95,0,0,0,0
14,"Roma","Inter",1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17867,"20:30",2,1.6,2,1.9,41009,"Stadio Olimpico","Gianluca Rocchi",NA,"https://fbref.com/en/matches/be14a351/Roma-Internazionale-December-2-2018-Serie-A",19,91,0,0,0,0,28,100,0,0,0,0
14,"Atalanta","Napoli",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Mon",17868,"20:30",1,1.3,2,1.6,19871,"Stadio Atleti Azzurri d'Italia","Piero Giacomelli",NA,"https://fbref.com/en/matches/176bd167/Atalanta-Napoli-December-3-2018-Serie-A",18,90,0,0,0,0,29,101,0,0,0,0
15,"Juventus","Inter",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Fri",17872,"20:30",1,1.5,0,1,41495,"Allianz Stadium","Massimiliano Irrati",NA,"https://fbref.com/en/matches/7b515291/Derby-dItalia-Juventus-Internazionale-December-7-2018-Serie-A",40,109,0,0,0,0,29,98,0,0,0,0
15,"Napoli","Frosinone",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sat",17873,"15:00",4,2.2,0,0.6,34631,"Stadio San Paolo","Gianluca Manganiello",NA,"https://fbref.com/en/matches/48089bcf/Napoli-Frosinone-December-8-2018-Serie-A",32,101,0,0,0,0,8,77,0,0,0,0
15,"Cagliari","Roma",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17873,"18:00",2,1.8,2,1.8,14938,"Sardegna Arena","Paolo Mazzoleni",NA,"https://fbref.com/en/matches/b30fa06d/Cagliari-Roma-December-8-2018-Serie-A",16,85,0,0,0,0,20,89,0,0,0,0
