"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"243",243,"45246-DET@OTT","2023-11-16","Detroit Red Wings","Ottawa Senators",4,3,0,1,0,0,0,1,0,0
"244",244,"45246-FLA@LA","2023-11-16","Florida Panthers","Los Angeles Kings",1,1,0,1,0,0,0,0,0,0
"245",245,"45246-NJ@PIT","2023-11-16","New Jersey Devils","Pittsburgh Penguins",4,2,1,0,0,0,0,0,0,0
"246",246,"45246-NYI@SEA","2023-11-16","New York Islanders","Seattle Kraken",1,0,0,3,2,0,0,0,0,1
"247",247,"45246-STL@SJ","2023-11-16","St. Louis Blues","San Jose Sharks",1,5,0,0,0,0,0,0,0,0
"248",248,"45246-TB@CHI","2023-11-16","Tampa Bay Lightning","Chicago Blackhawks",3,1,0,1,1,0,0,0,0,0
"249",249,"45246-VAN@CGY","2023-11-16","Vancouver Canucks","Calgary Flames",1,5,0,0,1,0,0,0,0,0
"250",250,"45246-VGS@MTL","2023-11-16","Vegas Golden Knights","Montreal Canadiens",2,5,1,0,3,0,0,0,0,0
"251",251,"45247-BUF@WPG","2023-11-17","Buffalo Sabres","Winnipeg Jets",2,3,0,0,0,0,0,0,0,0
"252",252,"45247-FLA@ANA","2023-11-17","Florida Panthers","Anaheim Ducks",2,0,0,1,0,0,0,0,0,0
"253",253,"45247-TOR@DET","2023-11-17","Toronto Maple Leafs","Detroit Red Wings",2,2,0,0,1,0,0,0,0,0
"254",254,"45248-ARI@WPG","2023-11-18","Arizona Coyotes","Winnipeg Jets",2,5,0,0,0,0,0,0,0,0
"255",255,"45248-CBJ@WSH","2023-11-18","Columbus Blue Jackets","Washington Capitals",3,4,0,0,0,0,0,0,0,0
"256",256,"45248-CHI@NSH","2023-11-18","Chicago Blackhawks","Nashville Predators",2,3,0,1,0,0,0,0,0,0
"257",257,"45248-COL@DAL","2023-11-18","Colorado Avalanche","Dallas Stars",5,2,0,1,1,0,0,0,0,0
"258",258,"45248-EDM@TB","2023-11-18","Edmonton Oilers","Tampa Bay Lightning",3,4,1,2,0,0,0,0,0,0
"259",259,"45248-MIN@OTT","2023-11-18","Minnesota Wild","Ottawa Senators",1,1,0,0,0,0,0,0,0,1
"260",260,"45248-MTL@BOS","2023-11-18","Montreal Canadiens","Boston Bruins",2,3,0,2,0,0,0,0,0,0
"261",261,"45248-NYI@CGY","2023-11-18","New York Islanders","Calgary Flames",3,4,0,0,1,0,0,0,1,0
"262",262,"45248-NYR@NJ","2023-11-18","New York Rangers","New Jersey Devils",4,2,0,1,1,0,0,0,0,0
"263",263,"45248-PIT@CAR","2023-11-18","Pittsburgh Penguins","Carolina Hurricanes",2,3,0,1,0,0,0,0,0,0
"264",264,"45248-SEA@VAN","2023-11-18","Seattle Kraken","Vancouver Canucks",4,3,0,0,0,0,0,0,0,0
"265",265,"45248-STL@LA","2023-11-18","St. Louis Blues","Los Angeles Kings",1,3,0,1,0,1,0,0,0,0
"266",266,"45248-VGS@PHI","2023-11-18","Vegas Golden Knights","Philadelphia Flyers",2,1,0,2,1,0,0,1,0,0
"267",267,"45249-BUF@CHI","2023-11-19","Buffalo Sabres","Chicago Blackhawks",2,2,0,0,1,0,0,0,0,0
"268",268,"45249-CBJ@PHI","2023-11-19","Columbus Blue Jackets","Philadelphia Flyers",2,3,0,1,0,1,0,0,0,0
"269",269,"45249-STL@ANA","2023-11-19","St. Louis Blues","Anaheim Ducks",2,1,0,0,1,0,0,0,0,0
"270",270,"45249-TOR@MIN","2023-11-19","Toronto Maple Leafs","Minnesota Wild",2,3,0,0,1,0,1,0,0,0
"271",271,"45249-VGS@PIT","2023-11-19","Vegas Golden Knights","Pittsburgh Penguins",0,3,0,0,0,0,0,0,0,0
"272",272,"45250-BOS@TB","2023-11-20","Boston Bruins","Tampa Bay Lightning",4,3,0,1,0,0,0,1,0,0
"273",273,"45250-CGY@SEA","2023-11-20","Calgary Flames","Seattle Kraken",2,3,0,0,1,0,1,0,0,0
"274",274,"45250-COL@NSH","2023-11-20","Colorado Avalanche","Nashville Predators",1,4,1,0,1,0,0,0,0,0
"275",275,"45250-EDM@FLA","2023-11-20","Edmonton Oilers","Florida Panthers",3,4,0,1,0,0,0,0,0,0
"276",276,"45250-LA@ARI","2023-11-20","Los Angeles Kings","Arizona Coyotes",3,1,1,0,0,0,0,0,0,0
"277",277,"45250-NYR@DAL","2023-11-20","New York Rangers","Dallas Stars",2,3,0,1,1,2,0,0,0,0
"278",278,"45250-SJ@VAN","2023-11-20","San Jose Sharks","Vancouver Canucks",0,2,0,0,1,1,0,0,0,0
"279",279,"45252-BOS@FLA","2023-11-22","Boston Bruins","Florida Panthers",3,1,0,0,0,0,0,0,0,0
"280",280,"45252-BUF@WSH","2023-11-22","Buffalo Sabres","Washington Capitals",2,3,0,0,1,0,0,1,0,0
"281",281,"45252-CGY@NSH","2023-11-22","Calgary Flames","Nashville Predators",1,2,1,1,0,1,0,0,0,0
"282",282,"45252-CHI@CBJ","2023-11-22","Chicago Blackhawks","Columbus Blue Jackets",3,6,0,1,0,0,0,0,0,0
"283",283,"45252-EDM@CAR","2023-11-22","Edmonton Oilers","Carolina Hurricanes",1,5,1,0,1,1,0,0,0,0
"284",284,"45252-MTL@ANA","2023-11-22","Montreal Canadiens","Anaheim Ducks",4,2,0,1,0,0,0,0,0,0
"285",285,"45252-NJ@DET","2023-11-22","New Jersey Devils","Detroit Red Wings",0,3,0,1,0,0,0,0,0,0
"286",286,"45252-NYR@PIT","2023-11-22","New York Rangers","Pittsburgh Penguins",1,0,0,0,0,0,0,0,0,0
"287",287,"45252-PHI@NYI","2023-11-22","Philadelphia Flyers","New York Islanders",2,3,0,0,0,0,0,0,0,0
"288",288,"45252-SJ@SEA","2023-11-22","San Jose Sharks","Seattle Kraken",1,6,0,1,0,0,0,0,0,0
"289",289,"45252-STL@ARI","2023-11-22","St. Louis Blues","Arizona Coyotes",4,5,2,0,0,0,0,0,0,0
"290",290,"45252-VAN@COL","2023-11-22","Vancouver Canucks","Colorado Avalanche",2,4,0,1,0,0,0,0,0,0
"291",291,"45252-VGS@DAL","2023-11-22","Vegas Golden Knights","Dallas Stars",0,1,0,0,1,0,1,0,0,0
"292",292,"45252-WPG@TB","2023-11-22","Winnipeg Jets","Tampa Bay Lightning",1,1,0,1,1,0,1,0,0,0
"293",293,"45254-CBJ@NJ","2023-11-24","Columbus Blue Jackets","New Jersey Devils",2,1,0,0,0,0,0,0,0,0
"294",294,"45254-CGY@DAL","2023-11-24","Calgary Flames","Dallas Stars",7,3,0,1,0,0,0,0,0,0
"295",295,"45254-COL@MIN","2023-11-24","Colorado Avalanche","Minnesota Wild",2,1,0,1,1,0,0,0,0,0
"296",296,"45254-DET@BOS","2023-11-24","Detroit Red Wings","Boston Bruins",3,1,0,1,2,0,0,0,0,0
"297",297,"45254-EDM@WSH","2023-11-24","Edmonton Oilers","Washington Capitals",2,0,0,0,3,0,0,0,0,0
"298",298,"45254-LA@ANA","2023-11-24","Los Angeles Kings","Anaheim Ducks",3,1,0,1,2,0,0,0,0,0
"299",299,"45254-MTL@SJ","2023-11-24","Montreal Canadiens","San Jose Sharks",2,1,0,1,0,0,0,0,1,0
"300",300,"45254-NSH@STL","2023-11-24","Nashville Predators","St. Louis Blues",7,2,0,1,1,0,0,0,0,0
"301",301,"45254-NYI@OTT","2023-11-24","New York Islanders","Ottawa Senators",4,2,0,1,1,0,0,0,0,0
